,0
FACE_r241011_enStoreOvrflw_RD_aCO2_1,656.74853515625
FACE_r241011_enStoreOvrflw_RD_aCO2_2,1376.3856201171875
FACE_r241011_enStoreOvrflw_RD_aCO2_3,1324.04833984375
FACE_r241011_enStoreOvrflw_RD_aCO2_4,1271.1539306640625
FACE_r241011_enStoreOvrflw_RD_aCO2_5,1474.8388671875
FACE_r241011_enStoreOvrflw_RD_aCO2_6,1467.1190185546875
FACE_r241011_enStoreOvrflw_RD_aCO2_7,1466.2261962890625
FACE_r241011_enStoreOvrflw_RD_aCO2_8,1465.42333984375
FACE_r241011_enStoreOvrflw_RD_aCO2_9,1465.4935302734375
FACE_r241011_enStoreOvrflw_RD_aCO2_10,1465.8814697265625
Year,2001.5
